title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
パークハイムＦ,東京都小金井市中町２,ＪＲ中央線/東小金井駅 歩6分,西武多摩川線/新小金井駅 歩9分,ＪＲ中央線/武蔵小金井駅 歩21分,21.0,6.0,4.0,13300.0,7000.0,13300.0,13300.0,3.0,64.85,https://suumo.jp/chintai/jnc_000055729295/?bc=100186895017
ＪＲ中央線 国分寺駅 2階建 築6年,東京都国分寺市東元町１,ＪＲ中央線/国分寺駅 歩12分,ＪＲ中央線/武蔵小金井駅 歩30分,京王線/府中駅 バス15分 (バス停)一里塚 歩6分,6.0,2.0,2.0,9400.0,3000.0,9400.0,0.0,1.0,39.94,https://suumo.jp/chintai/jnc_000055786618/?bc=100186911516
カレイドヴィラ,東京都国分寺市東元町１,ＪＲ中央線/国分寺駅 歩12分,ＪＲ武蔵野線/西国分寺駅 歩30分,ＪＲ中央線/武蔵小金井駅 歩30分,6.0,2.0,2.0,9400.0,3000.0,9400.0,0.0,1.0,39.94,https://suumo.jp/chintai/jnc_000036598327/?bc=100186923343
ＪＲ中央線 武蔵小金井駅 2階建 築28年,東京都小金井市中町４,ＪＲ中央線/武蔵小金井駅 歩8分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩22分,28.0,2.0,1.0,9800.0,2000.0,9800.0,9800.0,2.0,57.75,https://suumo.jp/chintai/jnc_000036680129/?bc=100186946475
ＡＮＥＳＩＳ　ＫＡＰＰＡ　ＤＵＯ,東京都小金井市本町３,ＪＲ中央線/武蔵小金井駅 歩10分,ＪＲ中央線/東小金井駅 歩20分,西武多摩川線/新小金井駅 歩29分,18.0,3.0,3.0,13900.0,15000.0,13900.0,13900.0,2.0,60.0,https://suumo.jp/chintai/jnc_000055406060/?bc=100186144369
ＡＮＥＳＩＳ　ＫＡＰＰＡ　ＤＵＯ,東京都小金井市本町３,ＪＲ中央線/武蔵小金井駅 歩10分,ＪＲ中央線/東小金井駅 歩20分,西武多摩川線/新小金井駅 歩29分,18.0,3.0,3.0,15000.0,15000.0,15000.0,15000.0,3.0,64.8,https://suumo.jp/chintai/jnc_000055765832/?bc=100186871014
ＪＲ中央線 武蔵小金井駅 3階建 築18年,東京都小金井市本町３,ＪＲ中央線/武蔵小金井駅 歩10分,ＪＲ中央線/東小金井駅 歩21分,西武新宿線/花小金井駅 車6分(2.8km),18.0,3.0,3.0,13900.0,15000.0,13900.0,13900.0,2.0,60.0,https://suumo.jp/chintai/jnc_000055414586/?bc=100186970664
ＪＲ中央線 武蔵小金井駅 3階建 築18年,東京都小金井市本町３,ＪＲ中央線/武蔵小金井駅 歩10分,ＪＲ中央線/東小金井駅 歩21分,西武新宿線/花小金井駅 車6分(2.8km),18.0,3.0,3.0,15000.0,15000.0,15000.0,15000.0,3.0,64.8,https://suumo.jp/chintai/jnc_000055779874/?bc=100186913667
ＪＲ中央線 武蔵小金井駅 3階建 築18年,東京都小金井市本町３,ＪＲ中央線/武蔵小金井駅 歩10分,ＪＲ中央線/東小金井駅 歩21分,西武新宿線/花小金井駅 車6分(2.8km),18.0,3.0,3.0,15400.0,15000.0,15400.0,15400.0,3.0,64.8,https://suumo.jp/chintai/jnc_000055779875/?bc=100186911365
エスポワール北町,東京都国分寺市北町１,西武国分寺線/恋ヶ窪駅 歩14分,西武国分寺線/鷹の台駅 歩14分,,5.0,3.0,2.0,8600.0,4500.0,0.0,8600.0,1.0,42.32,https://suumo.jp/chintai/jnc_000055786611/?bc=100186923321
