title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
サンライズ田無III,東京都西東京市芝久保町２,西武新宿線/田無駅 歩10分,西武新宿線/花小金井駅 歩21分,西武バス/芝久保四丁目 歩8分,29.0,6.0,1.0,8500.0,5000.0,8500.0,8500.0,3.0,53.12,https://suumo.jp/chintai/jnc_000055664594/?bc=100187654689
サンライズ田無III,東京都西東京市芝久保町２,西武新宿線/田無駅 歩10分,西武新宿線/花小金井駅 歩21分,西武バス/芝久保四丁目 歩8分,29.0,6.0,1.0,9400.0,5000.0,9400.0,9400.0,3.0,53.12,https://suumo.jp/chintai/jnc_000052982292/?bc=100187655329
アイコート田無,東京都西東京市南町３,西武新宿線/田無駅 歩4分,西武新宿線/西武柳沢駅 歩15分,ＪＲ中央線/武蔵境駅 バス12分 (バス停)田無駅 歩4分,2.0,3.0,2.0,9500.0,3500.0,9500.0,9500.0,1.0,49.97,https://suumo.jp/chintai/jnc_000055901766/?bc=100187486435
アイコート田無,東京都西東京市南町３,西武新宿線/田無駅 歩4分,西武新宿線/西武柳沢駅 歩15分,ＪＲ中央線/武蔵境駅 バス12分 (バス停)田無駅 歩4分,2.0,3.0,2.0,9500.0,3500.0,9500.0,0.0,1.0,49.97,https://suumo.jp/chintai/jnc_000055907597/?bc=100187655062
エミネンス,東京都昭島市田中町１,ＪＲ青梅線/昭島駅 歩16分,ＪＲ青梅線/中神駅 歩28分,ＪＲ青梅線/拝島駅 歩31分,9.0,2.0,2.0,7800.0,5000.0,7800.0,3900.0,1.0,46.7,https://suumo.jp/chintai/jnc_000055772906/?bc=100186871481
エミネンス,東京都昭島市田中町１,ＪＲ青梅線/昭島駅 歩16分,ＪＲ青梅線/中神駅 歩28分,ＪＲ青梅線/拝島駅 歩31分,9.0,2.0,2.0,7800.0,5500.0,7800.0,3900.0,1.0,46.7,https://suumo.jp/chintai/jnc_000055802180/?bc=100187019681
昭島市福島町戸建,東京都昭島市福島町,ＪＲ青梅線/東中神駅 歩1分,ＪＲ青梅線/西立川駅 歩12分,ＪＲ青梅線/中神駅 歩11分,0.0,2.0,1.0,13500.0,0.0,13500.0,13500.0,2.0,63.1,https://suumo.jp/chintai/jnc_000054438170/?bc=100187631619
昭島市福島町戸建,東京都昭島市福島町,ＪＲ青梅線/東中神駅 歩1分,ＪＲ青梅線/西立川駅 歩12分,ＪＲ青梅線/中神駅 歩11分,0.0,2.0,1.0,13500.0,0.0,13500.0,13500.0,2.0,63.1,https://suumo.jp/chintai/jnc_000054617598/?bc=100181918470
ＪＲ中央線 東小金井駅 2階建 築12年,東京都小金井市梶野町２,ＪＲ中央線/東小金井駅 歩14分,西武多摩川線/新小金井駅 歩20分,,12.0,2.0,2.0,12000.0,3000.0,12000.0,12000.0,2.0,62.0,https://suumo.jp/chintai/jnc_000055927386/?bc=100187574299
ＪＲ中央線 東小金井駅 2階建 築12年,東京都小金井市梶野町２,ＪＲ中央線/東小金井駅 歩14分,西武多摩川線/新小金井駅 歩20分,,12.0,2.0,2.0,12000.0,3000.0,12000.0,12000.0,2.0,61.8,https://suumo.jp/chintai/jnc_000055478050/?bc=100185610661
